"BRIN.NUMMER";"PROVINCIE.x";"BEVOEGD.GEZAG.NUMMER";"INSTELLINGSNAAM";"STRAATNAAM";"HUISNUMMER.TOEVOEGING";"POSTCODE";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM.x";"DENOMINATIE";"TELEFOONNUMMER";"INTERNETADRES";"STRAATNAAM.CORRESPONDENTIEADRES";"HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES";"POSTCODE.CORRESPONDENTIEADRES";"PLAATSNAAM.CORRESPONDENTIEADRES";"NODAAL.GEBIED.CODE";"NODAAL.GEBIED.NAAM";"RPA.GEBIED.CODE";"RPA.GEBIED.NAAM";"WGR.GEBIED.CODE";"WGR.GEBIED.NAAM";"COROPGEBIED.CODE";"COROPGEBIED.NAAM";"ONDERWIJSGEBIED.CODE";"ONDERWIJSGEBIED.NAAM";"RMC.REGIO.CODE";"RMC.REGIO.NAAM";"VESTIGINGSNUMMER";"NAAM_INSTELLING";"GEMEENTENAAM.y";"PROVINCIE.y";"SWV";"BEVOEGD_GEZAG_NUMMER";"TOTAAL";"TOTAAL_JONGER_8";"TOTAAL_8_EO";"TOTAAL_GEW00";"TOTAAL_GEW03";"TOTAAL_GEW12";"TOTAAL_NOAT";"TOTAAL_BEKOSTIGD";"BEK_JONGER_8";"BEK_8_EO";"BEK_GEW00";"BEK_GEW03";"BEK_GEW12";"BEK_NOAT";"TOTAAL_NIET_BEKOSTIGD";"NIETBEK_JONGER_8";"NIETBEK_8_EO";"NIETBEK_GEW00";"NIETBEK_GEW03";"NIETBEK_GEW12";"NIETBEK_NOAT";"lat";"lon";"NOATPCT";"DESC"
"1";"04IU";"Noord-Holland";20970;"Asvo School";"Frederiksplein";"37";"1017 XL";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206269005;"www.asvo.nl";"Frederiksplein";"37";"1017 XL";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Asvo School";"AMSTERDAM";"Noord-Holland";"PO2707";20970;355;180;175;355;0;0;33;354;179;175;354;0;0;33;1;1;0;1;0;0;0;52.3608664;4.9010893;9.29577464788732;"br />  <br /> 355 <br /> 9.29577464788732"
"2";"04JA";"Noord-Holland";21464;"Basisschool Rosj Pina";"Nieuw Herlaer";"18-20";"1083 BD";"AMSTERDAM";363;"AMSTERDAM";"Joods";206427644;"                                                                                ";"Postbus";"87058";"1080 JB";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Basisschool Rosj Pina";"AMSTERDAM";"Noord-Holland";"PO2707";21464;246;127;119;245;1;0;72;246;127;119;245;1;0;72;0;0;0;0;0;0;0;52.3265384;4.8873132;29.2682926829268;"br />  <br /> 246 <br /> 29.2682926829268"
"3";"04JS";"Noord-Holland";23440;"Schoolvereniging Willemspark";"Willem Witsenstraat";"12";"1077 AZ";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206719806;"www.willemsparkschool.nl";"Willem Witsenstraat";"12";"1077 AZ";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Schoolver Willemspark";"AMSTERDAM";"Noord-Holland";"PO2707";23440;235;117;118;235;0;0;0;235;117;118;235;0;0;0;0;0;0;0;0;0;0;52.3510754;4.8697049;0;"br />  <br /> 235 <br /> 0"
"4";"04LA";"Noord-Holland";81316;"Oecumenische Basisschool De Rivieren";"Lekstraat";"35-37";"1079 EM";"AMSTERDAM";363;"AMSTERDAM";"Protestants-Christelijk";206641267;"www.derivieren.nl";"Lekstraat";"35-37";"1079 EM";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"De Rivieren";"AMSTERDAM";"Noord-Holland";"PO2707";81316;167;96;71;146;5;16;41;166;95;71;145;5;16;41;1;1;0;1;0;0;0;52.344107;4.9042392;24.5508982035928;"br />  <br /> 167 <br /> 24.5508982035928"
"5";"04ST";"Noord-Holland";27770;"Sint Barbara-School Basisschool";"Eikenplein";"3";"1092 CC";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206650790;"www.barbaraschool.nl";"Eikenplein";"3";"1092 CC";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"St Barbara-Sch Basissch";"AMSTERDAM";"Noord-Holland";"PO2707";27770;108;75;33;88;3;17;27;108;75;33;88;3;17;27;0;0;0;0;0;0;0;52.3581898;4.9219012;25;"br />  <br /> 108 <br /> 25"
"6";"05FR";"Noord-Holland";41023;"Basisschool Het Wespennest";"Breedveld";"6";"1025 PZ";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";206370555;"www.hetwespennest.nl";"Breedveld";"6";"1025 PZ";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Basissch Het Wespennest";"AMSTERDAM";"Noord-Holland";"PO2707";41023;238;119;119;233;2;3;25;238;119;119;233;2;3;25;0;0;0;0;0;0;0;52.3959262;4.934912;10.5042016806723;"br />  <br /> 238 <br /> 10.5042016806723"
"7";"05FS";"Noord-Holland";27770;"Rooms Katholieke Basisschool Het Koggeschip";"Abraham Kuyperplein";"2";"1067 DE";"AMSTERDAM";363;"AMSTERDAM";"Rooms-Katholiek";205061980;"www.tkoggeschip.nl";"Abraham Kuyperplein";"2";"1067 DE";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"RK Basissch H Koggeschip";"AMSTERDAM";"Noord-Holland";"PO2707";27770;561;291;270;487;12;62;397;561;291;270;487;12;62;397;0;0;0;0;0;0;0;52.382836;4.802576;70.7664884135472;"br />  <br /> 561 <br /> 70.7664884135472"
"8";"05LX";"Noord-Holland";41646;"G.B.S. Veerkracht";"Slotermeerlaan";"160";"1063 JW";"AMSTERDAM";363;"AMSTERDAM";"Gereformeerd vrijgemaakt";206136666;"www.gbsveerkracht.nl";"Van Moerkerkenstraat";"89";"1064 KC";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"G.B.S. Veerkracht";"AMSTERDAM";"Noord-Holland";"PO2707";41646;161;89;72;131;9;21;81;161;89;72;131;9;21;81;0;0;0;0;0;0;0;52.3836762;4.8219827;50.3105590062112;"br />  <br /> 161 <br /> 50.3105590062112"
"9";"05VP";"Noord-Holland";94459;"Cornelis Vrijschool voor Basisonderwijs";"Van de Veldestraat";"3";"1071 CW";"AMSTERDAM";363;"AMSTERDAM";"Algemeen bijzonder";206623754;"www.cornelisvrij.nl";"Van de Veldestraat";"3";"1071 CW";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Cornelis Vrijschool";"AMSTERDAM";"Noord-Holland";"PO2707";94459;254;122;132;254;0;0;1;253;121;132;253;0;0;1;1;1;0;1;0;0;0;52.3595368;4.8798804;0.393700787401575;"br />  <br /> 254 <br /> 0.393700787401575"
"10";"06GK";"Noord-Holland";28420;"Basisschool De Wiltzangh";"Hertspieghelweg";"55";"1055 KK";"AMSTERDAM";363;"AMSTERDAM";"Protestants-Christelijk";206840451;"www.dewiltzangh.nl";"Hertspieghelweg";"55";"1055 KK";"AMSTERDAM";44;"Amsterdam";20;"Zuidelijk Noord-Holland";21;"Agglomeratie Amsterdam";23;"Groot-Amsterdam";15;"Zuid-Noord-Holland";21;"Agglomeratie Amsterdam";0;"Basisschool De Wiltzangh";"AMSTERDAM";"Noord-Holland";"PO2707";28420;174;82;92;152;5;17;128;174;82;92;152;5;17;128;0;0;0;0;0;0;0;52.3816894;4.8508395;73.5632183908046;"br />  <br /> 174 <br /> 73.5632183908046"
