"VESTIGINGSNUMMER";"VESTIGINGSNAAM";"ADRES.VESTIGING";"POSTCODE.VESTIGING";"PLAATSNAAM.VESTIGING";"PROVINCIE.VESTIGING";"GEMEENTENUMMER.VESTIGING";"GEMEENTENAAM.VESTIGING";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035"
"468";"04IU00";"Asvo School";"Frederiksplein 37";"1017XL";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";354;354;359;362;343;355.329414419368;365.006070720157;367.246948604485;367.594137311064;371.856844073573;375.743835127004;377.406523530336;383.663353129936;387.470482607638;386.49086921362;381.781781581272;380.197266900941;380.656396215167;385.152162876352;393.574020649441;398.342924049539;403.416126549038;410.616485830714;415.08021906404;421.221777715272
"471";"04JA00";"Basisschool Rosj Pina";"Nieuw Herlaer 18-20";"1083BD";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";311;282;285;275;244;248.772264135633;254.094097044529;251.494933184888;259.708545942739;270.001766151577;271.588509194584;273.567937659885;278.052958087703;283.670250183367;291.171510759763;298.2697965635;307.663535236983;316.836321710642;325.883396925799;333.827237673239;339.706253234153;346.642000429823;352.406534477767;357.90610378201;362.452777408515
"478";"04JS00";"Schoolvereniging Willemspark";"Willem Witsenstraat 12";"1077AZ";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";241;236;236;242;239;228.16451942486;223.406099479694;219.616247725622;217.497436034863;220.431209560626;218.669244108081;219.107003796061;219.165687933668;220.932877385322;222.724145674435;225.672521869036;229.695006353901;232.276862046339;235.038593066638;241.129163245727;249.33445685481;258.611267519024;267.801425338716;279.555505981859;290.332559973411
"498";"04LA00";"Oecumenische Basisschool De Rivieren";"Lekstraat 35-37";"1079EM";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";209;203;175;194;192;201.103845347491;204.34636939782;206.304631998168;209.415931942984;207.690260447786;209.892828950545;210.821489111958;211.719533121828;214.115441982932;214.121736151378;214.921222090721;216.570946413884;217.259323864977;220.588943957238;223.777632859831;227.207965475769;232.351313947389;239.636474836429;245.191181765047;250.50437333246
"628";"04ST00";"Sint Barbara-School Basisschool";"Eikenplein 3";"1092CC";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";127;100;87;78;87;85.0533086639331;85.136974433071;85.1809473100207;88.2140813487675;87.5526913828991;87.6969765132819;88.384440697875;88.5438705770757;89.7914247843601;91.0318647367057;91.7924482592402;92.9727623261163;93.2925498572474;94.5199925273897;96.4190330018005;98.8373836227987;100.88629981874;101.634889885272;102.216260438882;102.071769743348
"822";"05FR00";"Basisschool Het Wespennest";"Breedveld 6";"1025PZ";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";241;244;244;245;243;243.127885861875;242.121944695118;249.046963937296;249.76039494051;253.222119095832;265.10951848923;275.021205830557;285.146415665176;292.500042745568;299.874225051856;309.58418217312;322.357530942728;330.869151299048;339.777275538146;349.46961846018;361.466141655682;368.324234507689;375.642281767849;382.884903826917;391.333362266388
"823";"05FS00";"Rooms Katholieke Basisschool Het Koggeschip";"Abraham Kuyperplein 2";"1067DE";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";560;512;492;494;528;521.390573185843;496.832496216078;486.948533238681;493.696030070628;521.984910240985;547.251749103182;567.767283962329;586.475730370635;604.07462093396;621.571893829841;645.251145244526;659.649623549778;678.920897020556;692.011107236254;701.162454230771;706.683865745408;716.261062011421;722.671655309381;721.439425165546;722.258359425626
"919";"05LX00";"G.B.S. Veerkracht";"Slotermeerlaan 160";"1063JW";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";171;158;160;167;164;166.333897576225;174.815230231638;178.784672220485;174.583566189314;180.324068947117;182.53062109237;185.791883485529;190.162193128298;193.6045530351;196.686680412977;200.459532242559;204.602803612604;209.453722864344;213.372859047547;216.496871222884;219.327278099124;220.844335741076;222.048819164223;223.374672081359;224.007873843031
"1088";"05VP00";"Cornelis Vrijschool voor Basisonderwijs";"Van de Veldestraat 3";"1071CW";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";251;251;248;245;242;243.256325959644;243.137392868173;241.489627125474;239.418009713463;240.406651288681;239.271164679377;239.248422459554;238.997873536799;241.680015591085;241.387286891309;242.346378635615;244.644011665263;247.066218648707;248.723394707531;253.336305837722;259.036401620067;266.272156371095;274.214304827952;282.410817408217;290.692329182849
"1249";"06GK00";"Basisschool De Wiltzangh";"Hertspieghelweg 55";"1055KK";"AMSTERDAM";"Noord-Holland";"0363";"AMSTERDAM";223;219;212;216;212;219.003249705027;229.200963607481;237.011342339517;242.511575149867;245.759373638919;245.589524862172;247.955315773903;251.53159919764;254.87205124864;260.060754838059;264.371651486846;271.136453961567;275.187815462802;280.208576015916;284.555051506603;289.353897540455;293.786838362977;295.587451886672;294.74875892186;294.778919850535
