"VESTIGINGSNUMMER";"VESTIGINGSNAAM";"school";"address";"lat";"lon"
"1";"00PG00";"Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"00PG00 Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"Smeetslandseweg 127 3079CR ROTTERDAM";51.8813717;4.5329422
"2";"00PG02";"Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"00PG02 Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"Carnissesingel 20 3084NA ROTTERDAM";51.8854108;4.4852651
"3";"00PG03";"Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"00PG03 Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"President Rooseveltweg 11 3068TR ROTTERDAM";51.9610746;4.5605793
"4";"00PG04";"Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"00PG04 Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"Prof. Waterinklaan 41 3312KM DORDRECHT";51.8012416;4.6795017
"5";"00PG08";"Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"00PG08 Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo";"Twentestraat 96 3083BD ROTTERDAM";51.8855022;4.4889818
"6";"00WH00";"Gomarusschool s.g.voor VMBO Havo Atheneum";"00WH00 Gomarusschool s.g.voor VMBO Havo Atheneum";"Hoefslag 11 4205NK GORINCHEM";51.8482737;4.968954
"7";"00WH01";"Gomarusschool s.g.voor VMBO Havo Atheneum";"00WH01 Gomarusschool s.g.voor VMBO Havo Atheneum";"Lange Slagenstraat 1 4205BV GORINCHEM";51.8377886;4.9727368
"8";"01RL00";"Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo";"01RL00 Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo";"Anklaarseweg 71 7316MB APELDOORN";52.2362863;5.9650441
"9";"01RL01";"Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo";"01RL01 Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo";"De Stroekeld 142 7463CA RIJSSEN";52.3119568;6.4972502
"10";"01RL02";"Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo";"01RL02 Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo";"Garderenseweg 37-43 3888LA UDDEL";52.2548532;5.7790696
