ADMINISTRATIENUMMER;SAMENWERKINGSVERBAND;VESTIGINGSNUMMER;VESTIGINGSNAAM;ADRES VESTIGING;POSTCODE VESTIGING;PLAATSNAAM VESTIGING;CORRESPONDENTIEADRES VESTIGING;POSTCODE CORRESPONDENTIEADRES VESTIGING;PLAATS CORRESPONDENTIEADRES VESTIGING;BRIN NUMMER;INSTELLINGSNAAM;ADRES;POSTCODE;PLAATSNAAM;CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATS CORRESPONDENTIEADRES;BEVOEGD GEZAG SCHOOL
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00PG00;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127;3079CR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;00PG;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127;3079CR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;36883
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00PG02;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Carnissesingel 20;3084NA;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;00PG;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127;3079CR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;36883
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00PG03;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;President Rooseveltweg 11;3068TR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;00PG;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127;3079CR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;36883
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00PG04;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Prof. Waterinklaan 41;3312KM;DORDRECHT;Postbus 2062;2990DB;BARENDRECHT;00PG;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127;3079CR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;36883
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00PG08;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Twentestraat 96;3083BD;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;00PG;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Smeetslandseweg 127;3079CR;ROTTERDAM;Postbus 2062;2990DB;BARENDRECHT;36883
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00WH00;Gomarusschool s.g.voor VMBO Havo Atheneum;Hoefslag 11;4205NK;GORINCHEM;Postbus 425;4200AK;GORINCHEM;00WH;Gomarusschool s.g.voor VMBO Havo Atheneum;Hoefslag 11;4205NK;GORINCHEM;Postbus 425;4200AK;GORINCHEM;42556
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;00WH01;Gomarusschool s.g.voor VMBO Havo Atheneum;Lange Slagenstraat 1;4205BV;GORINCHEM;Postbus 425;4200AK;GORINCHEM;00WH;Gomarusschool s.g.voor VMBO Havo Atheneum;Hoefslag 11;4205NK;GORINCHEM;Postbus 425;4200AK;GORINCHEM;42556
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;01RL00;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Anklaarseweg 71;7316MB;APELDOORN;Postbus 2151;7302EN;APELDOORN;01RL;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Anklaarseweg 71;7316MB;APELDOORN;Postbus 2151;7302EN;APELDOORN;84021
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;01RL01;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;De Stroekeld 142;7463CA;RIJSSEN;Postbus 384;7460AJ;RIJSSEN;01RL;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Anklaarseweg 71;7316MB;APELDOORN;Postbus 2151;7302EN;APELDOORN;84021
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;01RL02;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Garderenseweg 37-43;3888LA;UDDEL;Garderenseweg 37-43;3888LA;UDDEL;01RL;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Anklaarseweg 71;7316MB;APELDOORN;Postbus 2151;7302EN;APELDOORN;84021
VO0001;Vereniging Reformatorisch Passend Onderwijs voor Voortgezet Onderwijs;01RL03;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Musschenbroekstraat 11;7316JD;APELDOORN;Postbus 2151;7302EN;APELDOORN;01RL;Jacobus Fruijtier Scholengemeenschap v Lyceum Havo Mavo Vbo Lwoo;Anklaarseweg 71;7316MB;APELDOORN;Postbus 2151;7302EN;APELDOORN;84021
